,postUrl,image_text,description,likeCount,commentCount,img_text_promos,img_landscape,img_campers_caravans,outdoor_acitivies,cap_rei_challenges,cap_outdoor_running,cap_hiking_gear,cap_rei_promos
0,https://www.instagram.com/p/CO0ghLyBF-f/,Bicycle Wheel Tire Bicycles--Equipment and supplies Bicycle helmet Bicycle wheel Bicycle frame Vehicle Bicycle tire Bicycle clothing Cloud Sky Bicycle Wheel Ecoregion Dusk Bicycle frame Sunset Bicycle handlebar Natural landscape Bicycle Bicycle helmet Wheel Tire Bicycles--Equipment and supplies Bicycle wheel Land vehicle Bicycle frame Bicycle clothing Bicycle handlebar Bicycle Tire Bicycles--Equipment and supplies Cloud Sky Wheel Bicycle wheel Bicycle frame Vehicle Bicycle tire,"From motocross to mountain biking, Eliot Jackson (@eliotjackson) has been on some version of two wheels since he was 4 years old. Now, with @growcyclingfoundation, he's working to make biking more accessible. Visit the link in our bio to hear Eliot's story.

Photos: @heather_young_",5076,22,0.001577287,0.08044164,0.916403785,0.001577287,0.003787879,0.571969697,0.003787879,0.420454545
1,https://www.instagram.com/p/CO3bJTzn4_N/,Sky Flower Plant Cloud Natural landscape Mountain Grass Plain Grassland Rural area,"Here's a piece of good news: Studies show that just 2 hours of outdoor time each week can improve mood and boost energy. 🙌 What's your favorite way to enjoy the outdoors?

Click the link in our bio to read more about the mental health benefits of outdoor time. #MentalHealthAwarenessMonth

Photo: @anggeventure",24538,223,0.088709677,0.89516129,0.008064516,0.008064516,0.069078947,0.233552632,0.628289474,0.069078947
2,https://www.instagram.com/p/CO85W1wMEBq/,Sky Plant Mountain Plant community Cloud Natural landscape Larch Tree Slope Evergreen,"Serenity flows from this awe-inspiring view. Where do you go to find inner peace?

Photo: @kellendelano",16461,60,0.008064516,0.975806452,0.008064516,0.008064516,0.00877193,0.973684211,0.00877193,0.00877193
3,https://www.instagram.com/p/COA8_K8BaYZ/,Sky Plant Flower Plant community Ecoregion People in nature Tree Mountain Natural landscape Slope Sky Mountain Cloud Ecoregion People in nature Flash photography Happy Highland Travel Sunlight,"Spring hiking is here! Shop selected @athleta products (perfect for the trails) available now at REI. Link in bio.

Photos: #REIpartner @thewanderingqueen",17575,56,0.082677165,0.909448819,0.003937008,0.003937008,0.396103896,0.006493506,0.071428571,0.525974026
4,https://www.instagram.com/p/COF9u06AL7_/,Water Cloud Bicycle Sky Wheel Bicycle wheel Mountain Bicycles--Equipment and supplies Azure Nature,"Sometimes you need a little motivation to ride more. Click on the link in bio for our tips.

Photo: #REIpartner @vagabondhearts",7241,22,0.007462687,0.305970149,0.679104478,0.007462687,0.008064516,0.008064516,0.975806452,0.008064516
5,https://www.instagram.com/p/COLHoSgh91g/,Sky Plant People in nature Luggage and bags Bag Travel Backpack Landscape Hat Leisure,"The refreshed Sahara collection is meant for the trail, just like you. Available in inclusive sizing. #OptOutside",6248,32,0.008064516,0.411290323,0.008064516,0.572580645,0.105769231,0.009615385,0.394230769,0.490384615
6,https://www.instagram.com/p/CONsMdTAz5x/,Tent Camping Shade Sky Tarpaulin Plant Sunlight Style Biome Grass,"Planning a summer filled with nights outside? Learn how to pick the right tent for you in our handy guide (link in bio). ⛺

Photo: @andrewbydlon",18191,105,0.009615385,0.778846154,0.009615385,0.201923077,0.006493506,0.006493506,0.980519481,0.006493506
7,https://www.instagram.com/p/COQKGm4gAcB/,Shoe Sky yoga pant People in nature Tree Leaf Sneakers Outdoor recreation Leisure Exercise,Our friends @outdoorjournaltour are hosting their 5th annual #wehiketoheal program starting May 1st. Women worldwide are encouraged to log their mindful moments and miles during May as they seek solace and inspiration from each other and the great outdoors. Visit our link in bio to learn more and register for the event.,3457,50,0.529850746,0.455223881,0.007462687,0.007462687,0.717687075,0.275510204,0.003401361,0.003401361
8,https://www.instagram.com/p/COS1q_AgEM2/,Sky Water Ecoregion Plant Natural landscape Larch Wood Sunlight Tree Evergreen,"Take a moment and listen to the trees today. 

Photo: @chipperd93",22388,77,0.00877193,0.973684211,0.00877193,0.00877193,0.418918919,0.554054054,0.013513514,0.013513514
9,https://www.instagram.com/p/COX_X-ZL6zv/,Sky Water Plant Mountain Tree Natural landscape People in nature Larch Slope Lake,"Where are you planning to hit the trails this summer?

Photo: @its_all_downhill_from_here_",19720,292,0.008064516,0.89516129,0.088709677,0.008064516,0.640625,0.328125,0.015625,0.015625
10,https://www.instagram.com/p/COnVKWVM85n/,Water Sky Boat Plant Water resources Watercraft Vehicle Boats and boating--Equipment and supplies Natural landscape Tree,"A new day is dawning. Where will you meet it? 

Photo: @elbunt",13077,59,0.006493506,0.461038961,0.525974026,0.006493506,0.640625,0.015625,0.015625,0.328125
11,https://www.instagram.com/p/COp6CLxMh85/,Plant People in nature Nature Tree Natural landscape Outdoor recreation Wood Recreation Leisure Luggage and bags,"Let’s celebrate the moms, grandmoms and wise women in our lives who’ve nurtured in us their love of the outdoors.

Photo: #REIpartner @brooke.froelich",7243,18,0.006944444,0.493055556,0.006944444,0.493055556,0.525974026,0.396103896,0.071428571,0.006493506
12,https://www.instagram.com/p/COs6O36rt4A/,Bicycle Wheel Glasses Tire Bicycles--Equipment and supplies Land vehicle Bicycle frame Bicycle wheel Crankset Vehicle,"Who is excited about spring riding? Join and complete our REI Cycle State of Mind Challenge on @strava for a chance to win a $500 REI gift card and digital badge. Link in bio.

NO PURCHASE NECESSARY. Must be a legal U.S. resident; age 18+. Entry ends 6/3/21 at 11:59pm PT. Odds depend on no. of entries. Visit bit.ly/3hehx6X for full promotion rules, eligibility, how to enter for free via mail, and other details and restrictions.",3347,35,0.006493506,0.006493506,0.980519481,0.006493506,0.001838235,0.020220588,0.001838235,0.976102941
13,https://www.instagram.com/p/CP1XE6QhRzJ/,Hair Sky Cloud Plant Sleeve People in nature Waist Travel Happy Landscape,"Join us Wednesday, June 9 for a conversation with @newbalance athlete and Olympic medalist, @emmacoburn. She'll talk training routine, mental approaches to running, her upcoming appearance at the 2021 Olympic trials and her new cookbook.

Register now at the link in our bio.",6012,37,0.447368421,0.535087719,0.00877193,0.00877193,0.113138686,0.624087591,0.186131387,0.076642336
14,https://www.instagram.com/p/CP3Q61MBsPZ/,Food Table Plant Furniture Picnic table Outdoor table Leaf Folding chair Outdoor furniture Natural landscape,"Summertime picnics anyone? We can help with that! REI Co-op + @westelm have come together to co-create your new favorite picnic set up for at home and beyond. Enter for a chance to win your own REI Co-op + West Elm picnic bundle. Link in bio. #REIxWestElm

Photo: #REIpartner @africanboheme

NO PURCHASE NECESSARY. Must be a legal U.S. resident; age 18+. Entry ends 7/12/21 at 11:59pm PT. Odds depend on no. of entries. Visit https://bit.ly/3c9Mmq9 for full promotion rules, eligibility, how to enter, and other details and restrictions.",17556,132,0.136363636,0.266233766,0.006493506,0.590909091,0.032110092,0.001529052,0.001529052,0.964831804
15,https://www.instagram.com/p/CP8aVdmsB2O/,Sky Mountain Cloud Tent Natural environment Natural landscape Highland Landscape Morning Mountainous landforms,"Where is your favorite place to set up camp? ⛺

Photo: @timwestern_",16275,227,0.007462687,0.97761194,0.007462687,0.007462687,0.015625,0.015625,0.953125,0.015625
